날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2023-01-18,18:34,지출,식사,미분류,북창동순두부 (서초점),-11500,KRW,LOCA 롯데카드,
2023-01-18,13:48,지출,카페/간식,미분류,스타벅스코리아,-14100,KRW,LOCA 롯데카드,
2023-01-18,11:07,지출,문화/여가,미분류,문화비_알라딘커뮤니케이션,18690,KRW,LOCA 롯데카드,
2023-01-18,08:33,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-01-18,00:10,지출,의복/미용,미분류,쿠팡(쿠페이),-24500,KRW,LOCA 롯데카드,
2023-01-17,18:13,지출,식사,미분류,주식회사 크라이치즈버거,-9100,KRW,LOCA 롯데카드,
2023-01-17,08:26,지출,식사,미분류,NICE_통신판매,-5700,KRW,LOCA 롯데카드,
2023-01-17,00:11,지출,문화/여가,미분류,문화비_알라딘커뮤니케이션,-18690,KRW,LOCA 롯데카드,
2023-01-16,19:32,지출,생활,미분류,GS25 마곡나루점,-3900,KRW,LOCA 롯데카드,
2023-01-16,17:58,지출,문화/여가,미분류,알라딘커뮤니케이션,18332,KRW,LOCA 롯데카드,
2023-01-16,16:48,지출,문화/여가,미분류,알라딘커뮤니케이션,-18332,KRW,LOCA 롯데카드,
2023-01-16,13:15,지출,카페/간식,미분류,스타벅스코리아,-5300,KRW,LOCA 롯데카드,
2023-01-16,09:56,지출,주거/통신,미분류,LOCA,-23100,KRW,LOCA 롯데카드,
2023-01-14,21:32,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-15400,KRW,LOCA 롯데카드,
2023-01-14,20:53,지출,식사,미분류,네이버페이,-78870,KRW,신한은행 The More,
2023-01-14,20:14,지출,식사,미분류,네이버페이,78870,KRW,신한은행 The More,
2023-01-14,20:11,지출,식사,미분류,네이버페이,-78870,KRW,신한은행 The More,
2023-01-14,18:10,지출,식사,미분류,네이버파이낸셜 주식회사,-27870,KRW,신한은행 The More,
2023-01-13,23:48,지출,생활,미분류,씨유(CU) 행운야베스점,-19000,KRW,신한은행 The More,
2023-01-13,22:26,지출,술/유흥,미분류,서울루덴스,-35000,KRW,LOCA 롯데카드,
2023-01-13,21:31,지출,식사,미분류,마마 에티오피아요리,-50000,KRW,LOCA 롯데카드,
2023-01-13,11:17,지출,생활,미분류,쿠팡(쿠페이),30100,KRW,LOCA 롯데카드,
2023-01-13,11:01,지출,식사,미분류,쿠팡(주),-24670,KRW,신한은행 The More,
2023-01-13,10:58,지출,의복/미용,미분류,쿠팡(쿠페이),-30100,KRW,LOCA 롯데카드,
2023-01-12,20:59,지출,생활,미분류,(주)지마켓,-17990,KRW,신한은행 The More,
2023-01-11,21:41,지출,생활,미분류,지에스(GS)25 마곡나루6단지점,-6400,KRW,신한은행 The More,
2023-01-11,21:41,지출,생활,미분류,지에스(GS)25 마곡나루6단지점,-8900,KRW,신한은행 The More,
2023-01-11,15:47,지출,식사,미분류,네이버파이낸셜 주식회사,-16900,KRW,신한은행 The More,
2023-01-10,22:45,지출,식사,미분류,네이버파이낸셜 주식회사,-25870,KRW,신한은행 The More,
2023-01-10,10:00,지출,식사,미분류,배달의민족_선물하기,-50000,KRW,신한은행 The More,
2023-01-09,17:07,지출,생활,미분류,아이아이 미사점,-2600,KRW,프렌즈 체크카드,
2023-01-09,17:07,지출,생활,미분류,아이아이 미사점,-1200,KRW,프렌즈 체크카드,
2023-01-09,17:04,지출,교통,미분류,카카오 T_바이크,-1500,KRW,신한은행 The More,
2023-01-09,09:44,지출,주거/통신,미분류,서울시 카카오페이2,-6170,KRW,신한은행 The More,
2023-01-08,18:12,지출,생활,미분류,GS25 마곡나루6단지점,-4400,KRW,프렌즈 체크카드,
